position,aspect,category,standard
Head of Marketing,Riset Pasar,Technical Core,4
Head of Marketing,Manajemen Brand,Technical Core,5
Head of Marketing,Analitik Digital,Tools & Platform,4
Head of Marketing,Otomasi Pemasaran,Tools & Platform,3
Senior Marketing Manager,Strategi Kampanye,Technical Core,4
Senior Marketing Manager,Riset Pasar,Technical Core,4
Senior Marketing Manager,Analitik Digital,Tools & Platform,4
Brand Manager,Manajemen Brand,Technical Core,4
Brand Manager,Strategi Kampanye,Technical Core,4
Brand Manager,Riset Pasar,Technical Core,3
Growth Marketing Lead,Eksperimen Pertumbuhan,Technical Core,3
Growth Marketing Lead,Optimasi Konversi,Technical Core,3
Growth Marketing Lead,Analitik Digital,Tools & Platform,4
Senior Brand Strategist,Strategi Brand,Technical Core,4
Senior Brand Strategist,Riset Pasar,Technical Core,4
Senior Brand Strategist,Narasi & Positioning,Technical Core,4
Chief Revenue Officer,Strategi Pendapatan,Technical Core,5
Chief Revenue Officer,Manajemen Pipeline,Technical Core,4
Chief Revenue Officer,Penetapan Harga,Technical Core,4
Creative Director,Arahan Kreatif,Technical Core,5
Creative Director,Storytelling Visual,Technical Core,4
Creative Director,Manajemen Produksi,Tools & Platform,3
Principal Engineer,Arsitektur Sistem,Technical Core,5
Principal Engineer,Desain Terdistribusi,Technical Core,5
Principal Engineer,Technical Roadmap,Technical Core,4
Principal Engineer,Cloud Infrastructure,Tools & Platform,4
Principal Engineer,Observability,Tools & Platform,4
Operations Strategist,Perencanaan Strategis,Technical Core,4
Operations Strategist,Analitik Operasional,Technical Core,4
Operations Strategist,Pemodelan Skenario,Tools & Platform,4
Growth Marketing Manager,Eksperimen Pertumbuhan,Technical Core,4
Growth Marketing Manager,Analitik Digital,Technical Core,4
Growth Marketing Manager,Optimasi Konversi,Technical Core,4
Growth Marketing Manager,Otomasi Pemasaran,Tools & Platform,4
Senior Finance Manager,Pelaporan Keuangan,Technical Core,4
Senior Finance Manager,Analisis Anggaran,Technical Core,4
Senior Finance Manager,Manajemen Kas,Technical Core,4
Senior Finance Manager,Standar Akuntansi,Regulasi,4
Supply Chain Manager,Manajemen Rantai Pasok,Technical Core,4
Supply Chain Manager,Negosiasi Pengadaan,Technical Core,4
Supply Chain Manager,Perencanaan Inventori,Technical Core,3
Supply Chain Manager,Sistem ERP,Tools & Platform,3
Digital Content Specialist,Penulisan Konten,Technical Core,3
Digital Content Specialist,Produksi Visual,Technical Core,3
Digital Content Specialist,SEO,Tools & Platform,3
Digital Content Specialist,Analitik Digital,Tools & Platform,3
