aspect,level,key_behaviour
Persuasi,1,Meminta pendampingan senior ketika prospek mengajukan keberatan
Persuasi,2,Menyesuaikan urutan penyampaian berdasarkan industri prospek
Persuasi,2,Mengaitkan minimal satu fitur dengan kebutuhan yang disebut prospek
Persuasi,2,Menangani keberatan umum dengan jawaban yang sudah disiapkan tim
Persuasi,3,"Membangun argumen dari masalah bisnis prospek, bukan dari fitur produk"
Persuasi,3,Mengubah keberatan menjadi pertanyaan diagnostik untuk menggali kebutuhan
Persuasi,3,"Menyesuaikan gaya komunikasi dengan peran pendengar, teknis atau finansial"
Persuasi,4,Merancang narasi berbeda untuk tiap anggota komite pembelian secara konsisten
Persuasi,4,Mengantisipasi keberatan struktural seperti anggaran atau politik internal
Persuasi,4,Memenangkan dukungan champion internal untuk mengadvokasi di forum tertutup
Persuasi,5,Membentuk kriteria evaluasi prospek sejak awal sehingga selaras dengan kekuatan produk
Persuasi,5,Menjadi rujukan tim dalam menyusun narasi untuk kesepakatan lintas divisi
Persuasi,5,"Menggeser persepsi pasar terhadap kategori produk, bukan sekadar produknya"
Negosiasi,1,Menyampaikan harga dan syarat standar tanpa penyesuaian
Negosiasi,1,Mengeskalasi setiap permintaan konsesi ke atasan
Negosiasi,1,Mendokumentasikan permintaan klien secara akurat
Negosiasi,2,Menawarkan diskon dalam batas kewenangan yang diberikan
Negosiasi,2,Menjelaskan alasan di balik struktur harga saat ditanya
Negosiasi,2,Mengenali kapan negosiasi perlu dihentikan sementara
Negosiasi,3,Menukar konsesi dengan komitmen seperti durasi kontrak atau volume
Negosiasi,3,Menyiapkan batas bawah dan alternatif terbaik sebelum masuk perundingan
Negosiasi,3,Menjaga hubungan tetap baik meski permintaan klien ditolak
Negosiasi,4,Menyusun paket bernilai tinggi bagi klien tanpa mengorbankan margin
Negosiasi,4,Menegosiasikan secara paralel dengan beberapa pihak berkepentingan
Negosiasi,4,Membaca titik tekan lawan dan mengatur waktu konsesi secara strategis
Negosiasi,5,Merancang kerangka kesepakatan yang menjadi preseden bagi tim
Negosiasi,5,Memimpin negosiasi kontrak strategis dengan implikasi jangka panjang
Negosiasi,5,Melatih tim mengenali dan menghindari jebakan negosiasi umum
Kegigihan,1,Melakukan tindak lanjut sesuai jadwal yang ditetapkan
Kegigihan,1,Menyelesaikan jumlah aktivitas prospeksi minimum yang ditargetkan
Kegigihan,1,Melaporkan hambatan tanpa menunda pekerjaan berikutnya
Kegigihan,2,Melanjutkan tindak lanjut setelah penolakan pertama
Kegigihan,2,Mencoba kanal komunikasi alternatif ketika satu kanal tidak direspons
Kegigihan,2,Menjaga ritme aktivitas harian meski hasil belum terlihat
Kegigihan,3,Memelihara kontak jangka panjang dengan prospek yang belum siap membeli
Kegigihan,3,Menyesuaikan pendekatan setelah beberapa kali tidak berhasil
Kegigihan,3,Mengelola daftar prospek dorman secara terstruktur
Kegigihan,4,Membuka kembali kesepakatan yang sebelumnya dinyatakan kalah
Kegigihan,4,Bertahan pada siklus penjualan panjang lebih dari satu tahun tanpa kehilangan momentum
Kegigihan,4,Menjaga semangat rekan kerja saat periode konversi rendah
Kegigihan,5,Membangun sistem pemeliharaan prospek jangka panjang yang diadopsi tim
Kegigihan,5,Mengubah pola kekalahan berulang menjadi perbaikan proses
Kegigihan,5,Menjadi contoh ketahanan yang dirujuk dalam budaya tim
Inisiatif,1,Mengerjakan daftar prospek yang diberikan hingga tuntas
Inisiatif,1,Melaporkan peluang yang ditemukan secara tidak sengaja
Inisiatif,1,Meminta pekerjaan tambahan ketika target harian selesai
Inisiatif,2,Mencari prospek tambahan dari sumber yang sudah tersedia
Inisiatif,2,Mengusulkan perbaikan kecil pada materi atau proses penjualan
Inisiatif,2,Menindaklanjuti peluang lintas produk tanpa diminta
Inisiatif,3,Menyusun daftar target sendiri berdasarkan riset segmen
Inisiatif,3,Menguji pendekatan baru dan mengukur hasilnya secara mandiri
Inisiatif,3,Mengambil alih akun bermasalah sebelum menjadi eskalasi
Inisiatif,4,Membuka kanal atau segmen baru atas inisiatif sendiri
Inisiatif,4,Membangun kemitraan eksternal yang menghasilkan aliran prospek
Inisiatif,4,Menginisiasi proyek lintas fungsi untuk mengatasi hambatan penjualan
Inisiatif,5,Menciptakan peluang pasar baru yang berkembang menjadi lini bisnis
Inisiatif,5,Mendorong perubahan strategi komersial berdasarkan temuan lapangan
Inisiatif,5,Membangun budaya proaktif yang direplikasi tim lain
Ketahanan Tekanan,1,Tetap menjalankan tugas rutin ketika target belum tercapai
Ketahanan Tekanan,1,Menerima umpan balik korektif tanpa sikap defensif
Ketahanan Tekanan,1,Meminta bantuan ketika beban terasa berlebihan
Ketahanan Tekanan,2,Menjaga kualitas kerja saat menghadapi penolakan berulang
Ketahanan Tekanan,2,Memisahkan penolakan atas produk dari penilaian pribadi
Ketahanan Tekanan,2,Menjaga profesionalisme saat berhadapan dengan klien yang keras
Ketahanan Tekanan,3,Tetap tenang dan terstruktur ketika kesepakatan besar batal mendadak
Ketahanan Tekanan,3,Mengelola beban akhir kuartal tanpa penurunan kualitas
Ketahanan Tekanan,3,Memulihkan diri dengan cepat setelah kemunduran signifikan
Ketahanan Tekanan,4,Menjaga performa dan kejernihan berpikir saat tekanan target tinggi
Ketahanan Tekanan,4,Menstabilkan rekan kerja yang sedang mengalami tekanan berat
Ketahanan Tekanan,4,Mengambil keputusan sulit di bawah ketidakpastian informasi
Ketahanan Tekanan,5,Menjadi penstabil tim saat krisis komersial atau perubahan besar
Ketahanan Tekanan,5,Merancang mekanisme kerja yang mengurangi tekanan struktural tim
Ketahanan Tekanan,5,Menjaga arah jangka panjang ketika tekanan jangka pendek memuncak
Manajemen Layanan Klien,1,Menjawab pertanyaan klien sesuai prosedur yang berlaku
Manajemen Layanan Klien,1,Meneruskan permintaan ke saluran yang tepat
Manajemen Layanan Klien,1,Mendokumentasikan interaksi klien secara lengkap
Manajemen Layanan Klien,2,Menyelesaikan keluhan rutin dalam batas waktu layanan
Manajemen Layanan Klien,2,Menjelaskan status penanganan secara proaktif kepada klien
Manajemen Layanan Klien,2,Mengenali kapan sebuah isu perlu dieskalasi
Manajemen Layanan Klien,3,Mengantisipasi kebutuhan klien sebelum berubah menjadi keluhan
Manajemen Layanan Klien,3,Menyusun rencana layanan berkala untuk akun yang dipegang
Manajemen Layanan Klien,3,Mengukur kepuasan klien dan menindaklanjuti temuannya
Manajemen Layanan Klien,4,Merancang program layanan khusus untuk akun strategis
Manajemen Layanan Klien,4,Menyeimbangkan tuntutan layanan dengan kapasitas tim internal
Manajemen Layanan Klien,4,Memulihkan hubungan pada akun yang sempat bermasalah serius
Manajemen Layanan Klien,5,Menetapkan standar layanan yang menjadi diferensiasi perusahaan
Manajemen Layanan Klien,5,Membangun model keberhasilan pelanggan yang terukur
Manajemen Layanan Klien,5,Mengintegrasikan wawasan layanan ke dalam strategi produk
Evaluasi Kesehatan Akun,1,Mencatat metrik penggunaan produk oleh klien
Evaluasi Kesehatan Akun,1,Melaporkan angka adopsi apa adanya secara berkala
Evaluasi Kesehatan Akun,1,Mengenali indikator dasar seperti aktivitas login atau volume transaksi
Evaluasi Kesehatan Akun,2,Menyusun laporan tren penggunaan per akun tiap periode
Evaluasi Kesehatan Akun,2,Membandingkan realisasi terhadap komitmen awal kontrak
Evaluasi Kesehatan Akun,2,Menandai akun dengan penurunan aktivitas yang mencolok
Evaluasi Kesehatan Akun,3,Mengidentifikasi indikator risiko pemutusan kontrak dari pola penggunaan
Evaluasi Kesehatan Akun,3,Menghubungkan data penggunaan dengan nilai bisnis yang dirasakan klien
Evaluasi Kesehatan Akun,3,Mengusulkan tindakan koreksi yang spesifik berdasarkan data
Evaluasi Kesehatan Akun,4,Merancang kerangka indikator kesehatan akun beserta ambang batasnya
Evaluasi Kesehatan Akun,4,Menilai efektivitas intervensi retensi secara kuantitatif
Evaluasi Kesehatan Akun,4,Memprediksi risiko perpanjangan kontrak enam bulan sebelum jatuh tempo
Evaluasi Kesehatan Akun,5,Membangun sistem peringatan dini retensi tingkat perusahaan
Evaluasi Kesehatan Akun,5,Menetapkan definisi kesehatan akun yang berlaku lintas tim
Evaluasi Kesehatan Akun,5,Menghubungkan indikator akun dengan proyeksi pendapatan berulang
Orientasi Melayani,1,Merespons permintaan klien dalam tenggat yang dijanjikan
Orientasi Melayani,1,Bersikap sopan dan membantu dalam setiap interaksi
Orientasi Melayani,1,Menyampaikan informasi yang diminta secara lengkap
Orientasi Melayani,2,Mencari solusi di luar jawaban standar ketika prosedur tidak memadai
Orientasi Melayani,2,Menawarkan bantuan sebelum diminta pada isu yang terlihat
Orientasi Melayani,2,Menindaklanjuti hingga klien mengonfirmasi masalahnya selesai
Orientasi Melayani,3,Memperjuangkan kepentingan klien di forum internal perusahaan
Orientasi Melayani,3,Mengorbankan kenyamanan pribadi untuk kebutuhan klien yang mendesak
Orientasi Melayani,3,Menjaga transparansi termasuk saat menyampaikan kabar buruk
Orientasi Melayani,4,Menyeimbangkan kepentingan klien dan perusahaan pada keputusan sulit
Orientasi Melayani,4,Menolak permintaan klien dengan cara yang justru memperkuat kepercayaan
Orientasi Melayani,4,Mengubah klien yang kecewa menjadi pendukung aktif
Orientasi Melayani,5,Menanamkan orientasi melayani sebagai budaya kerja tim
Orientasi Melayani,5,Merancang ulang proses internal berdasarkan kebutuhan klien
Orientasi Melayani,5,Menjadi tolok ukur hubungan klien yang dirujuk organisasi
Kepekaan Sosial,1,Mengenali kepuasan atau ketidakpuasan yang dinyatakan secara terbuka
Kepekaan Sosial,1,Menyesuaikan sikap ketika lawan bicara terlihat tidak nyaman
Kepekaan Sosial,1,Menanyakan kabar dan kondisi klien secara wajar
Kepekaan Sosial,2,Menangkap perubahan sikap klien dari satu interaksi ke interaksi berikutnya
Kepekaan Sosial,2,Mengenali kapan bukan waktu yang tepat untuk membahas komersial
Kepekaan Sosial,2,Membedakan keberatan yang serius dari basa-basi
Kepekaan Sosial,3,Membaca dinamika hubungan antar pihak di dalam organisasi klien
Kepekaan Sosial,3,Mengenali motivasi personal di balik posisi yang diambil seseorang
Kepekaan Sosial,3,Menyesuaikan pendekatan berdasarkan tekanan yang sedang dihadapi kontak
Kepekaan Sosial,4,Mengenali pergeseran kekuasaan internal klien sebelum berdampak pada akun
Kepekaan Sosial,4,Mendeteksi ketidakpuasan yang tidak pernah diucapkan secara langsung
Kepekaan Sosial,4,Mengelola hubungan dengan pihak yang berseberangan tanpa kehilangan salah satunya
Kepekaan Sosial,5,Memandu tim membaca peta politik pada akun strategis
Kepekaan Sosial,5,Merancang strategi hubungan multi-pihak untuk akun besar
Kepekaan Sosial,5,Menjadi rujukan dalam menangani situasi antarpribadi yang sensitif
Koordinasi Lintas Fungsi,1,Meneruskan permintaan klien ke tim terkait dengan informasi lengkap
Koordinasi Lintas Fungsi,1,Menghadiri koordinasi internal sesuai jadwal
Koordinasi Lintas Fungsi,1,Memberi kabar kepada klien setelah menerima jawaban internal
Koordinasi Lintas Fungsi,2,Memastikan tindak lanjut internal berjalan tanpa perlu diingatkan klien
Koordinasi Lintas Fungsi,2,Menyelaraskan ekspektasi waktu antara klien dan tim pelaksana
Koordinasi Lintas Fungsi,2,Mendokumentasikan kesepakatan lintas tim secara tertulis
Koordinasi Lintas Fungsi,3,Mengoordinasikan beberapa tim sekaligus untuk menyelesaikan isu klien
Koordinasi Lintas Fungsi,3,Menengahi perbedaan prioritas antara klien dan tim internal
Koordinasi Lintas Fungsi,3,Menjaga satu sumber kebenaran informasi untuk akun yang dipegang
Koordinasi Lintas Fungsi,4,Menyelaraskan rencana pengembangan internal dengan rencana bisnis klien
Koordinasi Lintas Fungsi,4,Mengelola ketergantungan antar tim pada implementasi berskala besar
Koordinasi Lintas Fungsi,4,Mengangkat hambatan struktural ke tingkat yang bisa memutuskan
Koordinasi Lintas Fungsi,5,Membangun mekanisme kolaborasi lintas fungsi untuk akun besar
Koordinasi Lintas Fungsi,5,Menetapkan model tata kelola akun yang dipakai seluruh tim
Koordinasi Lintas Fungsi,5,Menyelaraskan tujuan komersial dan operasional di tingkat organisasi
Pemantauan Kinerja Akun,1,Mencatat status akun secara berkala sesuai format yang ditentukan
Pemantauan Kinerja Akun,1,Melaporkan perkembangan tanpa diminta atasan
Pemantauan Kinerja Akun,1,Mengenali ketika sebuah komitmen belum terpenuhi
Pemantauan Kinerja Akun,2,Meninjau pemakaian dan pencapaian klien pada setiap periode
Pemantauan Kinerja Akun,2,Membandingkan realisasi dengan target yang disepakati
Pemantauan Kinerja Akun,2,Menandai penyimpangan yang perlu perhatian lebih lanjut
Pemantauan Kinerja Akun,3,Mengevaluasi kesenjangan antara yang dijanjikan dan yang terealisasi
Pemantauan Kinerja Akun,3,Menelusuri penyebab penyimpangan hingga ke akarnya
Pemantauan Kinerja Akun,3,Menyesuaikan rencana kerja akun berdasarkan hasil evaluasi
Pemantauan Kinerja Akun,4,Memimpin tinjauan kinerja berkala bersama klien secara terstruktur
Pemantauan Kinerja Akun,4,Mengevaluasi efektivitas tindakan koreksi yang sudah dijalankan
Pemantauan Kinerja Akun,4,Mengidentifikasi pola lintas akun yang menandakan masalah sistemik
Pemantauan Kinerja Akun,5,Menetapkan kerangka evaluasi untuk seluruh portofolio akun
Pemantauan Kinerja Akun,5,Menghubungkan hasil pemantauan dengan keputusan alokasi sumber daya
Pemantauan Kinerja Akun,5,Membangun disiplin evaluasi berbasis bukti di dalam tim
Keandalan,1,Hadir dan merespons sesuai komitmen waktu yang disepakati
Keandalan,1,Menyelesaikan tugas administratif tepat waktu
Keandalan,1,Memberi tahu lebih awal jika ada keterlambatan
Keandalan,2,Menepati janji kecil secara konsisten dari waktu ke waktu
Keandalan,2,Menyelesaikan tindak lanjut tanpa perlu diingatkan
Keandalan,2,Menjaga akurasi informasi yang disampaikan kepada klien
Keandalan,3,Menjadi titik kontak yang bisa diandalkan tanpa pengawasan
Keandalan,3,Mengambil tanggung jawab atas kesalahan dan memperbaikinya
Keandalan,3,Menjaga konsistensi mutu layanan lintas seluruh akun yang dipegang
Keandalan,4,Menepati komitmen meski kondisi berubah atau menjadi sulit
Keandalan,4,Menjadi penjamin kualitas bagi pekerjaan rekan pada akun bersama
Keandalan,4,Menjaga kepercayaan klien melalui masa transisi organisasi
Keandalan,5,Reputasi keandalannya menjadi alasan klien memperpanjang kontrak
Keandalan,5,Menetapkan standar akuntabilitas yang diikuti tim
Keandalan,5,Dipercaya menangani akun paling sensitif bagi perusahaan
Enablement Klien,1,Menunjukkan fungsi dasar produk kepada pengguna klien
Enablement Klien,1,Menjawab pertanyaan cara pakai dengan merujuk dokumentasi
Enablement Klien,1,Menyiapkan materi pelatihan yang sudah tersedia
Enablement Klien,2,Menjalankan sesi pelatihan standar untuk kelompok kecil
Enablement Klien,2,Menyesuaikan kecepatan penyampaian dengan tingkat pemahaman peserta
Enablement Klien,2,Mengumpulkan pertanyaan berulang untuk diteruskan ke tim produk
Enablement Klien,3,Menyesuaikan materi dan contoh kasus dengan konteks bisnis klien
Enablement Klien,3,Mengidentifikasi hambatan adopsi dan merancang cara mengatasinya
Enablement Klien,3,Mengukur pemahaman peserta dan menindaklanjuti yang tertinggal
Enablement Klien,4,Merancang program adopsi bertahap untuk organisasi klien berskala besar
Enablement Klien,4,Melatih pengguna kunci di klien agar bisa mengajar rekannya sendiri
Enablement Klien,4,Menyesuaikan pendekatan pembelajaran untuk peran yang berbeda
Enablement Klien,5,Membangun kurikulum enablement yang direplikasi lintas akun
Enablement Klien,5,Menetapkan standar dan sertifikasi adopsi produk
Enablement Klien,5,Menjadikan enablement sebagai pendorong perpanjangan kontrak
Kemitraan Strategis,1,Menyampaikan informasi produk secara jujur termasuk keterbatasannya
Kemitraan Strategis,1,"Menanyakan sasaran bisnis klien, bukan hanya kebutuhan fitur"
Kemitraan Strategis,1,Mencatat konteks bisnis klien di luar cakupan transaksi berjalan
Kemitraan Strategis,2,Mengaitkan pembahasan produk dengan sasaran bisnis yang disebut klien
Kemitraan Strategis,2,Menyampaikan risiko atau keterbatasan solusi tanpa diminta
Kemitraan Strategis,2,Membagikan informasi yang berguna bagi klien meski tidak menghasilkan penjualan
Kemitraan Strategis,3,Menyarankan klien menunda pembelian ketika kondisinya belum siap
Kemitraan Strategis,3,Membawa perspektif industri yang tidak bisa diperoleh klien dari internal
Kemitraan Strategis,3,Menyampaikan ketidaksetujuan atas rencana klien secara konstruktif
Kemitraan Strategis,4,Diajak berdiskusi oleh klien sebelum kebutuhan resmi dirumuskan
Kemitraan Strategis,4,Menantang asumsi strategis klien dengan data pembanding yang kredibel
Kemitraan Strategis,4,Menjaga hubungan tetap terbuka meski sedang tidak ada transaksi berjalan
Kemitraan Strategis,5,Dilibatkan klien dalam perencanaan tahunan atau penyusunan prioritas strategis
Kemitraan Strategis,5,Mempertemukan klien dengan pihak yang bermanfaat tanpa kepentingan komersial langsung
Kemitraan Strategis,5,Menjadi rujukan tim dalam membangun posisi penasihat pada akun strategis
Rekayasa Perangkat Lunak,1,Menulis kode yang berjalan sesuai spesifikasi yang diberikan
Rekayasa Perangkat Lunak,1,Mengikuti standar penulisan kode yang berlaku di tim
Rekayasa Perangkat Lunak,1,Memakai version control untuk pekerjaan sehari-hari
Rekayasa Perangkat Lunak,2,Menulis pengujian untuk kode yang dibuatnya sendiri
Rekayasa Perangkat Lunak,2,Menelusuri penyebab galat tanpa perlu didampingi
Rekayasa Perangkat Lunak,2,Memecah pekerjaan jadi perubahan kecil yang mudah ditinjau
Rekayasa Perangkat Lunak,3,Meninjau kode rekan dan memberi masukan yang bisa ditindaklanjuti
Rekayasa Perangkat Lunak,3,Menangani kasus rumit yang menyentuh beberapa bagian sistem
Rekayasa Perangkat Lunak,3,Menimbang keterbacaan dan kecepatan saat memilih pendekatan
Rekayasa Perangkat Lunak,4,Merancang penyelesaian untuk masalah yang belum ada contohnya di tim
Rekayasa Perangkat Lunak,4,Menemukan dan melunasi utang teknis yang menghambat pengembangan
Rekayasa Perangkat Lunak,4,Menetapkan standar mutu kode yang diikuti tim
Rekayasa Perangkat Lunak,5,Mengarahkan praktik rekayasa lintas tim
Rekayasa Perangkat Lunak,5,Menilai cara kerja baru dan memutuskan mana yang layak diadopsi
Rekayasa Perangkat Lunak,5,Membimbing engineer lain sampai mandiri menangani kasus rumit
Arsitektur & Rancangan Sistem,1,Menjelaskan susunan komponen sistem yang sedang dikerjakan
Arsitektur & Rancangan Sistem,1,Mengikuti pola rancangan yang sudah ditetapkan
Arsitektur & Rancangan Sistem,1,Membaca dan memahami dokumen rancangan yang ada
Arsitektur & Rancangan Sistem,2,Merancang satu komponen beserta antarmukanya
Arsitektur & Rancangan Sistem,2,Mengenali ketergantungan antar bagian sebelum mengubahnya
Arsitektur & Rancangan Sistem,2,Mendokumentasikan rancangan yang dibuatnya
Arsitektur & Rancangan Sistem,3,Merancang alur antar beberapa komponen sekaligus
Arsitektur & Rancangan Sistem,3,Menimbang pilihan rancangan beserta konsekuensinya
Arsitektur & Rancangan Sistem,3,Mengenali titik yang akan jadi hambatan saat beban bertambah
Arsitektur & Rancangan Sistem,4,Menyusun arsitektur untuk satu ranah produk secara utuh
Arsitektur & Rancangan Sistem,4,Merencanakan migrasi sistem berjalan tanpa menghentikan layanan
Arsitektur & Rancangan Sistem,4,Menetapkan batas tanggung jawab antar tim lewat rancangan
Arsitektur & Rancangan Sistem,5,Menetapkan arah arsitektur jangka panjang perusahaan
Arsitektur & Rancangan Sistem,5,Menilai risiko teknis tingkat organisasi dan menyiapkan mitigasinya
Arsitektur & Rancangan Sistem,5,Menjadi rujukan keputusan arsitektur lintas tim
Keandalan & Operasional Sistem,1,Membaca dasbor pemantauan dan mengenali kondisi tidak wajar
