id,aspect,level,key_behaviour,score
p01,Keandalan,2,Menepati janji kecil secara konsisten dari waktu ke waktu,2
p01,Keandalan,2,Menyelesaikan tindak lanjut tanpa perlu diingatkan,4
p01,Keandalan,2,Menjaga akurasi informasi yang disampaikan kepada klien,2
p01,Keandalan,3,Menjadi titik kontak yang bisa diandalkan tanpa pengawasan,4
p01,Keandalan,3,Mengambil tanggung jawab atas kesalahan dan memperbaikinya,3
p01,Keandalan,3,Menjaga konsistensi mutu layanan lintas seluruh akun yang dipegang,3
p01,Keandalan,4,Menepati komitmen meski kondisi berubah atau menjadi sulit,3
p01,Keandalan,4,Menjadi penjamin kualitas bagi pekerjaan rekan pada akun bersama,4
p01,Keandalan,4,Menjaga kepercayaan klien melalui masa transisi organisasi,3
p01,Keandalan,5,Reputasi keandalannya menjadi alasan klien memperpanjang kontrak,3
p01,Keandalan,5,Menetapkan standar akuntabilitas yang diikuti tim,4
p01,Keandalan,5,Dipercaya menangani akun paling sensitif bagi perusahaan,3
p01,Koordinasi Lintas Fungsi,1,Meneruskan permintaan klien ke tim terkait dengan informasi lengkap,1
p01,Koordinasi Lintas Fungsi,1,Menghadiri koordinasi internal sesuai jadwal,1
p01,Koordinasi Lintas Fungsi,1,Memberi kabar kepada klien setelah menerima jawaban internal,2
p01,Koordinasi Lintas Fungsi,2,Memastikan tindak lanjut internal berjalan tanpa perlu diingatkan klien,2
p01,Koordinasi Lintas Fungsi,2,Menyelaraskan ekspektasi waktu antara klien dan tim pelaksana,2
p01,Koordinasi Lintas Fungsi,2,Mendokumentasikan kesepakatan lintas tim secara tertulis,2
p01,Koordinasi Lintas Fungsi,3,Mengoordinasikan beberapa tim sekaligus untuk menyelesaikan isu klien,2
p01,Koordinasi Lintas Fungsi,3,Menengahi perbedaan prioritas antara klien dan tim internal,1
p01,Koordinasi Lintas Fungsi,3,Menjaga satu sumber kebenaran informasi untuk akun yang dipegang,1
p01,Koordinasi Lintas Fungsi,4,Menyelaraskan rencana pengembangan internal dengan rencana bisnis klien,1
p01,Koordinasi Lintas Fungsi,4,Mengelola ketergantungan antar tim pada implementasi berskala besar,1
p01,Koordinasi Lintas Fungsi,4,Mengangkat hambatan struktural ke tingkat yang bisa memutuskan,1
p01,Koordinasi Lintas Fungsi,5,Membangun mekanisme kolaborasi lintas fungsi untuk akun besar,1
p01,Koordinasi Lintas Fungsi,5,Menetapkan model tata kelola akun yang dipakai seluruh tim,2
p01,Koordinasi Lintas Fungsi,5,Menyelaraskan tujuan komersial dan operasional di tingkat organisasi,2
p01,Ketahanan Tekanan,1,Tetap menjalankan tugas rutin ketika target belum tercapai,3
p01,Ketahanan Tekanan,1,Menerima umpan balik korektif tanpa sikap defensif,2
p01,Ketahanan Tekanan,1,Meminta bantuan ketika beban terasa berlebihan,4
p01,Ketahanan Tekanan,2,Menjaga kualitas kerja saat menghadapi penolakan berulang,3
p01,Ketahanan Tekanan,2,Memisahkan penolakan atas produk dari penilaian pribadi,4
p01,Ketahanan Tekanan,2,Menjaga profesionalisme saat berhadapan dengan klien yang keras,4
p01,Ketahanan Tekanan,3,Tetap tenang dan terstruktur ketika kesepakatan besar batal mendadak,3
p01,Ketahanan Tekanan,3,Mengelola beban akhir kuartal tanpa penurunan kualitas,4
p01,Ketahanan Tekanan,3,Memulihkan diri dengan cepat setelah kemunduran signifikan,3
p01,Ketahanan Tekanan,4,Menjaga performa dan kejernihan berpikir saat tekanan target tinggi,4
p01,Ketahanan Tekanan,4,Menstabilkan rekan kerja yang sedang mengalami tekanan berat,4
p01,Ketahanan Tekanan,4,Mengambil keputusan sulit di bawah ketidakpastian informasi,2
p01,Ketahanan Tekanan,5,Menjadi penstabil tim saat krisis komersial atau perubahan besar,4
p01,Ketahanan Tekanan,5,Merancang mekanisme kerja yang mengurangi tekanan struktural tim,3
p01,Ketahanan Tekanan,5,Menjaga arah jangka panjang ketika tekanan jangka pendek memuncak,2
p01,Kegigihan,1,Melakukan tindak lanjut sesuai jadwal yang ditetapkan,4
p01,Kegigihan,1,Menyelesaikan jumlah aktivitas prospeksi minimum yang ditargetkan,3
p01,Kegigihan,1,Melaporkan hambatan tanpa menunda pekerjaan berikutnya,2
p01,Kegigihan,2,Melanjutkan tindak lanjut setelah penolakan pertama,3
p01,Kegigihan,2,Mencoba kanal komunikasi alternatif ketika satu kanal tidak direspons,3
p01,Kegigihan,2,Menjaga ritme aktivitas harian meski hasil belum terlihat,4
p01,Kegigihan,3,Memelihara kontak jangka panjang dengan prospek yang belum siap membeli,4
p01,Kegigihan,3,Menyesuaikan pendekatan setelah beberapa kali tidak berhasil,4
p01,Kegigihan,3,Mengelola daftar prospek dorman secara terstruktur,4
p01,Kegigihan,4,Membuka kembali kesepakatan yang sebelumnya dinyatakan kalah,2
p01,Kegigihan,4,Bertahan pada siklus penjualan panjang lebih dari satu tahun tanpa kehilangan momentum,2
p01,Kegigihan,4,Menjaga semangat rekan kerja saat periode konversi rendah,4
p01,Kegigihan,5,Membangun sistem pemeliharaan prospek jangka panjang yang diadopsi tim,2
p01,Kegigihan,5,Mengubah pola kekalahan berulang menjadi perbaikan proses,3
p01,Kegigihan,5,Menjadi contoh ketahanan yang dirujuk dalam budaya tim,3
p01,Pemantauan Kinerja Akun,1,Mencatat status akun secara berkala sesuai format yang ditentukan,1
p01,Pemantauan Kinerja Akun,1,Melaporkan perkembangan tanpa diminta atasan,3
p01,Pemantauan Kinerja Akun,1,Mengenali ketika sebuah komitmen belum terpenuhi,1
p01,Pemantauan Kinerja Akun,2,Meninjau pemakaian dan pencapaian klien pada setiap periode,2
p01,Pemantauan Kinerja Akun,2,Membandingkan realisasi dengan target yang disepakati,3
p01,Pemantauan Kinerja Akun,2,Menandai penyimpangan yang perlu perhatian lebih lanjut,3
p01,Pemantauan Kinerja Akun,3,Mengevaluasi kesenjangan antara yang dijanjikan dan yang terealisasi,1
p01,Pemantauan Kinerja Akun,3,Menelusuri penyebab penyimpangan hingga ke akarnya,3
p01,Pemantauan Kinerja Akun,3,Menyesuaikan rencana kerja akun berdasarkan hasil evaluasi,1
p01,Pemantauan Kinerja Akun,4,Memimpin tinjauan kinerja berkala bersama klien secara terstruktur,1
p01,Pemantauan Kinerja Akun,4,Mengevaluasi efektivitas tindakan koreksi yang sudah dijalankan,3
p01,Pemantauan Kinerja Akun,4,Mengidentifikasi pola lintas akun yang menandakan masalah sistemik,1
p01,Pemantauan Kinerja Akun,5,Menetapkan kerangka evaluasi untuk seluruh portofolio akun,3
p01,Pemantauan Kinerja Akun,5,Menghubungkan hasil pemantauan dengan keputusan alokasi sumber daya,1
p01,Pemantauan Kinerja Akun,5,Membangun disiplin evaluasi berbasis bukti di dalam tim,1
p01,Rekayasa Perangkat Lunak,1,Menulis kode yang berjalan sesuai spesifikasi yang diberikan,5
p01,Rekayasa Perangkat Lunak,1,Mengikuti standar penulisan kode yang berlaku di tim,4
p01,Rekayasa Perangkat Lunak,1,Memakai version control untuk pekerjaan sehari-hari,4
p01,Rekayasa Perangkat Lunak,2,Menulis pengujian untuk kode yang dibuatnya sendiri,5
p01,Rekayasa Perangkat Lunak,2,Menelusuri penyebab galat tanpa perlu didampingi,5
p01,Rekayasa Perangkat Lunak,2,Memecah pekerjaan jadi perubahan kecil yang mudah ditinjau,5
p01,Rekayasa Perangkat Lunak,3,Meninjau kode rekan dan memberi masukan yang bisa ditindaklanjuti,4
p01,Rekayasa Perangkat Lunak,3,Menangani kasus rumit yang menyentuh beberapa bagian sistem,5
p01,Rekayasa Perangkat Lunak,3,Menimbang keterbacaan dan kecepatan saat memilih pendekatan,5
p01,Rekayasa Perangkat Lunak,4,Merancang penyelesaian untuk masalah yang belum ada contohnya di tim,4
p01,Rekayasa Perangkat Lunak,4,Menemukan dan melunasi utang teknis yang menghambat pengembangan,5
p01,Rekayasa Perangkat Lunak,4,Menetapkan standar mutu kode yang diikuti tim,4
p01,Rekayasa Perangkat Lunak,5,Mengarahkan praktik rekayasa lintas tim,4
p01,Rekayasa Perangkat Lunak,5,Menilai cara kerja baru dan memutuskan mana yang layak diadopsi,4
p01,Rekayasa Perangkat Lunak,5,Membimbing engineer lain sampai mandiri menangani kasus rumit,5
p01,Arsitektur & Rancangan Sistem,1,Menjelaskan susunan komponen sistem yang sedang dikerjakan,4
p01,Arsitektur & Rancangan Sistem,1,Mengikuti pola rancangan yang sudah ditetapkan,4
p01,Arsitektur & Rancangan Sistem,1,Membaca dan memahami dokumen rancangan yang ada,4
p01,Arsitektur & Rancangan Sistem,2,Merancang satu komponen beserta antarmukanya,5
p01,Arsitektur & Rancangan Sistem,2,Mengenali ketergantungan antar bagian sebelum mengubahnya,5
p01,Arsitektur & Rancangan Sistem,2,Mendokumentasikan rancangan yang dibuatnya,4
p01,Arsitektur & Rancangan Sistem,3,Merancang alur antar beberapa komponen sekaligus,3
p01,Arsitektur & Rancangan Sistem,3,Menimbang pilihan rancangan beserta konsekuensinya,4
p01,Arsitektur & Rancangan Sistem,3,Mengenali titik yang akan jadi hambatan saat beban bertambah,3
p01,Arsitektur & Rancangan Sistem,4,Menyusun arsitektur untuk satu ranah produk secara utuh,3
p01,Arsitektur & Rancangan Sistem,4,Merencanakan migrasi sistem berjalan tanpa menghentikan layanan,4
p01,Arsitektur & Rancangan Sistem,4,Menetapkan batas tanggung jawab antar tim lewat rancangan,4
p01,Arsitektur & Rancangan Sistem,5,Menetapkan arah arsitektur jangka panjang perusahaan,4
p01,Arsitektur & Rancangan Sistem,5,Menilai risiko teknis tingkat organisasi dan menyiapkan mitigasinya,4
p01,Arsitektur & Rancangan Sistem,5,Menjadi rujukan keputusan arsitektur lintas tim,3
p01,Keandalan & Operasional Sistem,1,Membaca dasbor pemantauan dan mengenali kondisi tidak wajar,5
p01,Keandalan & Operasional Sistem,1,Menjalankan prosedur penanganan gangguan yang sudah tertulis,5
p01,Keandalan & Operasional Sistem,1,Melaporkan gangguan dengan keterangan yang cukup untuk ditindaklanjuti,5
p01,Keandalan & Operasional Sistem,2,Menangani gangguan rutin tanpa eskalasi,5
p01,Keandalan & Operasional Sistem,2,Menyiapkan peringatan dini untuk layanan yang jadi tanggung jawabnya,5
p01,Keandalan & Operasional Sistem,2,Menulis catatan pasca-gangguan yang runtut,5
p01,Keandalan & Operasional Sistem,3,Memimpin penanganan gangguan yang menyentuh banyak layanan,5
p01,Keandalan & Operasional Sistem,3,Menelusuri akar masalah sampai ke penyebab sebenarnya,5
p01,Keandalan & Operasional Sistem,3,Mengubah sistem supaya gangguan serupa tidak terulang,4
p01,Keandalan & Operasional Sistem,4,Menyusun target keandalan beserta cara mengukurnya,4
p01,Keandalan & Operasional Sistem,4,Merancang kesiapan sistem menghadapi lonjakan beban,5
p01,Keandalan & Operasional Sistem,4,Menilai kesiapan operasional sebelum layanan baru dirilis,5
p01,Keandalan & Operasional Sistem,5,Menetapkan budaya keandalan yang dianut seluruh tim teknologi,5
p01,Keandalan & Operasional Sistem,5,Menyeimbangkan kecepatan rilis dengan risiko gangguan di tingkat organisasi,5
p01,Keandalan & Operasional Sistem,5,Membangun kemampuan tim lain dalam menangani gangguan,5
p01,Keamanan Informasi,1,Mengikuti ketentuan keamanan dasar dalam pekerjaan sehari-hari,5
p01,Keamanan Informasi,1,Mengenali data yang bersifat rahasia dan memperlakukannya semestinya,5
p01,Keamanan Informasi,1,Melaporkan hal mencurigakan lewat jalur yang benar,4
p01,Keamanan Informasi,2,Menerapkan pengendalian akses pada pekerjaan yang dibuatnya,4
p01,Keamanan Informasi,2,Mengenali celah keamanan yang umum pada kode atau konfigurasi,4
p01,Keamanan Informasi,2,Memakai perkakas pemindai keamanan yang disediakan,5
p01,Keamanan Informasi,3,Menilai risiko keamanan sebuah rancangan sebelum dibangun,5
p01,Keamanan Informasi,3,Menutup celah yang ditemukan beserta pengujian pembuktiannya,5
p01,Keamanan Informasi,3,Menjelaskan risiko keamanan dengan bahasa yang dipahami non-teknis,4
p01,Keamanan Informasi,4,Menyusun standar keamanan untuk satu ranah sistem,4
p01,Keamanan Informasi,4,Merancang tanggapan atas insiden keamanan,4
p01,Keamanan Informasi,4,Menilai kepatuhan pihak ketiga yang terhubung ke sistem,5
p01,Keamanan Informasi,5,Menetapkan arah keamanan informasi tingkat organisasi,5
p01,Keamanan Informasi,5,Menyeimbangkan kebutuhan bisnis dengan risiko keamanan,5
p01,Keamanan Informasi,5,Membangun kesadaran keamanan di seluruh perusahaan,5
p01,Pengelolaan Data,1,Mengambil data dengan kueri sederhana sesuai permintaan,3
p01,Pengelolaan Data,1,Mengenali arti kolom pada tabel yang dipakainya,2
p01,Pengelolaan Data,1,Menyajikan data dalam bentuk yang mudah dibaca,2
p01,Pengelolaan Data,2,Menyusun kueri gabungan lintas tabel,4
p01,Pengelolaan Data,2,Memeriksa kewajaran data sebelum dipakai,2
p01,Pengelolaan Data,2,Membuat alur pengolahan data yang berjalan berulang,4
p01,Pengelolaan Data,3,Merancang struktur data untuk kebutuhan baru,4
p01,Pengelolaan Data,3,Menelusuri sumber ketidakcocokan angka antar laporan,2
p01,Pengelolaan Data,3,Menjaga alur data tetap berjalan saat sumbernya berubah,4
p01,Pengelolaan Data,4,Menetapkan definisi baku untuk ukuran yang dipakai bersama,4
p01,Pengelolaan Data,4,Merancang tata kelola mutu data pada satu ranah,2
p01,Pengelolaan Data,4,Menilai kelayakan data untuk kebutuhan analitik lanjutan,4
p01,Pengelolaan Data,5,Menetapkan arah pengelolaan data tingkat organisasi,2
p01,Pengelolaan Data,5,Menjadikan data sebagai dasar keputusan lintas fungsi,4
p01,Pengelolaan Data,5,Membangun kemampuan olah data di tim lain,4
p02,Keandalan,1,Hadir dan merespons sesuai komitmen waktu yang disepakati,3
p02,Keandalan,1,Menyelesaikan tugas administratif tepat waktu,2
p02,Keandalan,1,Memberi tahu lebih awal jika ada keterlambatan,2
p02,Keandalan,2,Menepati janji kecil secara konsisten dari waktu ke waktu,4
p02,Keandalan,2,Menyelesaikan tindak lanjut tanpa perlu diingatkan,2
p02,Keandalan,2,Menjaga akurasi informasi yang disampaikan kepada klien,3
p02,Keandalan,3,Menjadi titik kontak yang bisa diandalkan tanpa pengawasan,3
p02,Keandalan,3,Mengambil tanggung jawab atas kesalahan dan memperbaikinya,4
p02,Keandalan,3,Menjaga konsistensi mutu layanan lintas seluruh akun yang dipegang,4
p02,Keandalan,4,Menepati komitmen meski kondisi berubah atau menjadi sulit,4
p02,Keandalan,4,Menjadi penjamin kualitas bagi pekerjaan rekan pada akun bersama,2
p02,Keandalan,4,Menjaga kepercayaan klien melalui masa transisi organisasi,4
p02,Keandalan,5,Reputasi keandalannya menjadi alasan klien memperpanjang kontrak,4
p02,Keandalan,5,Menetapkan standar akuntabilitas yang diikuti tim,3
p02,Keandalan,5,Dipercaya menangani akun paling sensitif bagi perusahaan,4
p02,Koordinasi Lintas Fungsi,1,Meneruskan permintaan klien ke tim terkait dengan informasi lengkap,2
p02,Koordinasi Lintas Fungsi,1,Menghadiri koordinasi internal sesuai jadwal,3
p02,Koordinasi Lintas Fungsi,1,Memberi kabar kepada klien setelah menerima jawaban internal,1
p02,Koordinasi Lintas Fungsi,2,Memastikan tindak lanjut internal berjalan tanpa perlu diingatkan klien,2
p02,Koordinasi Lintas Fungsi,2,Menyelaraskan ekspektasi waktu antara klien dan tim pelaksana,2
p02,Koordinasi Lintas Fungsi,2,Mendokumentasikan kesepakatan lintas tim secara tertulis,2
p02,Koordinasi Lintas Fungsi,3,Mengoordinasikan beberapa tim sekaligus untuk menyelesaikan isu klien,2
p02,Koordinasi Lintas Fungsi,3,Menengahi perbedaan prioritas antara klien dan tim internal,3
p02,Koordinasi Lintas Fungsi,3,Menjaga satu sumber kebenaran informasi untuk akun yang dipegang,1
p02,Koordinasi Lintas Fungsi,4,Menyelaraskan rencana pengembangan internal dengan rencana bisnis klien,3
p02,Koordinasi Lintas Fungsi,4,Mengelola ketergantungan antar tim pada implementasi berskala besar,2
p02,Koordinasi Lintas Fungsi,4,Mengangkat hambatan struktural ke tingkat yang bisa memutuskan,1
p02,Koordinasi Lintas Fungsi,5,Membangun mekanisme kolaborasi lintas fungsi untuk akun besar,3
p02,Koordinasi Lintas Fungsi,5,Menetapkan model tata kelola akun yang dipakai seluruh tim,2
p02,Koordinasi Lintas Fungsi,5,Menyelaraskan tujuan komersial dan operasional di tingkat organisasi,2
p02,Pemantauan Kinerja Akun,1,Mencatat status akun secara berkala sesuai format yang ditentukan,2
p02,Pemantauan Kinerja Akun,1,Melaporkan perkembangan tanpa diminta atasan,1
p02,Pemantauan Kinerja Akun,1,Mengenali ketika sebuah komitmen belum terpenuhi,1
p02,Pemantauan Kinerja Akun,2,Meninjau pemakaian dan pencapaian klien pada setiap periode,2
p02,Pemantauan Kinerja Akun,2,Membandingkan realisasi dengan target yang disepakati,1
p02,Pemantauan Kinerja Akun,2,Menandai penyimpangan yang perlu perhatian lebih lanjut,1
p02,Pemantauan Kinerja Akun,3,Mengevaluasi kesenjangan antara yang dijanjikan dan yang terealisasi,1
p02,Pemantauan Kinerja Akun,3,Menelusuri penyebab penyimpangan hingga ke akarnya,1
p02,Pemantauan Kinerja Akun,3,Menyesuaikan rencana kerja akun berdasarkan hasil evaluasi,1
p02,Pemantauan Kinerja Akun,4,Memimpin tinjauan kinerja berkala bersama klien secara terstruktur,2
p02,Pemantauan Kinerja Akun,4,Mengevaluasi efektivitas tindakan koreksi yang sudah dijalankan,1
p02,Pemantauan Kinerja Akun,4,Mengidentifikasi pola lintas akun yang menandakan masalah sistemik,2
p02,Pemantauan Kinerja Akun,5,Menetapkan kerangka evaluasi untuk seluruh portofolio akun,1
p02,Pemantauan Kinerja Akun,5,Menghubungkan hasil pemantauan dengan keputusan alokasi sumber daya,1
p02,Pemantauan Kinerja Akun,5,Membangun disiplin evaluasi berbasis bukti di dalam tim,2
p02,Inisiatif,1,Mengerjakan daftar prospek yang diberikan hingga tuntas,1
p02,Inisiatif,1,Melaporkan peluang yang ditemukan secara tidak sengaja,2
p02,Inisiatif,1,Meminta pekerjaan tambahan ketika target harian selesai,3
p02,Inisiatif,2,Mencari prospek tambahan dari sumber yang sudah tersedia,2
p02,Inisiatif,2,Mengusulkan perbaikan kecil pada materi atau proses penjualan,1
p02,Inisiatif,2,Menindaklanjuti peluang lintas produk tanpa diminta,2
p02,Inisiatif,3,Menyusun daftar target sendiri berdasarkan riset segmen,3
p02,Inisiatif,3,Menguji pendekatan baru dan mengukur hasilnya secara mandiri,3
p02,Inisiatif,3,Mengambil alih akun bermasalah sebelum menjadi eskalasi,1
p02,Inisiatif,4,Membuka kanal atau segmen baru atas inisiatif sendiri,2
p02,Inisiatif,4,Membangun kemitraan eksternal yang menghasilkan aliran prospek,1
p02,Inisiatif,4,Menginisiasi proyek lintas fungsi untuk mengatasi hambatan penjualan,1
p02,Inisiatif,5,Menciptakan peluang pasar baru yang berkembang menjadi lini bisnis,3
p02,Inisiatif,5,Mendorong perubahan strategi komersial berdasarkan temuan lapangan,3
p02,Inisiatif,5,Membangun budaya proaktif yang direplikasi tim lain,1
p02,Mendengar Aktif,1,Mencatat hal yang disampaikan klien tanpa memotong pembicaraan,4
p02,Mendengar Aktif,1,Mengulang kembali informasi faktual dengan benar,3
p02,Mendengar Aktif,1,Menahan diri untuk tidak langsung menawarkan produk,2
p02,Mendengar Aktif,2,Mengonfirmasi pemahaman atas poin utama sebelum melanjutkan,4
p02,Mendengar Aktif,2,Mengajukan pertanyaan klarifikasi saat ada informasi yang kabur,4
p02,Mendengar Aktif,2,Menyesuaikan kecepatan bicara dengan gaya lawan bicara,2
p02,Mendengar Aktif,3,Menggali pernyataan implisit dengan pertanyaan lanjutan yang relevan,4
p02,Mendengar Aktif,3,Membedakan keluhan permukaan dari masalah yang sebenarnya,4
p02,Mendengar Aktif,3,"Merangkum kebutuhan klien dengan bahasa klien, bukan bahasa produk",4
p02,Mendengar Aktif,4,"Menangkap kebutuhan yang tidak terucap dari nada, jeda, dan keraguan",3
p02,Mendengar Aktif,4,Mengelola percakapan multi-pihak dan memastikan setiap suara terdengar,3
p02,Mendengar Aktif,4,Mengenali ketika jawaban klien menghindari isu yang sesungguhnya,4
p02,Mendengar Aktif,5,Melatih rekan kerja membaca sinyal halus dalam percakapan komersial,2
p02,Mendengar Aktif,5,Merancang panduan diskusi diagnostik yang dipakai tim,3
p02,Mendengar Aktif,5,Menggunakan wawasan dari lapangan sebagai masukan strategi produk,3
p02,Ketahanan Tekanan,1,Tetap menjalankan tugas rutin ketika target belum tercapai,1
p02,Ketahanan Tekanan,1,Menerima umpan balik korektif tanpa sikap defensif,1
p02,Ketahanan Tekanan,1,Meminta bantuan ketika beban terasa berlebihan,1
p02,Ketahanan Tekanan,2,Menjaga kualitas kerja saat menghadapi penolakan berulang,1
p02,Ketahanan Tekanan,2,Memisahkan penolakan atas produk dari penilaian pribadi,1
p02,Ketahanan Tekanan,2,Menjaga profesionalisme saat berhadapan dengan klien yang keras,1
p02,Ketahanan Tekanan,3,Tetap tenang dan terstruktur ketika kesepakatan besar batal mendadak,2
p02,Ketahanan Tekanan,3,Mengelola beban akhir kuartal tanpa penurunan kualitas,1
p02,Ketahanan Tekanan,3,Memulihkan diri dengan cepat setelah kemunduran signifikan,1
p02,Ketahanan Tekanan,4,Menjaga performa dan kejernihan berpikir saat tekanan target tinggi,1
p02,Ketahanan Tekanan,4,Menstabilkan rekan kerja yang sedang mengalami tekanan berat,1
p02,Ketahanan Tekanan,4,Mengambil keputusan sulit di bawah ketidakpastian informasi,2
p02,Ketahanan Tekanan,5,Menjadi penstabil tim saat krisis komersial atau perubahan besar,1
p02,Ketahanan Tekanan,5,Merancang mekanisme kerja yang mengurangi tekanan struktural tim,2
p02,Ketahanan Tekanan,5,Menjaga arah jangka panjang ketika tekanan jangka pendek memuncak,1
p02,Orientasi Melayani,1,Merespons permintaan klien dalam tenggat yang dijanjikan,4
p02,Orientasi Melayani,1,Bersikap sopan dan membantu dalam setiap interaksi,4
p02,Orientasi Melayani,1,Menyampaikan informasi yang diminta secara lengkap,4
p02,Orientasi Melayani,2,Mencari solusi di luar jawaban standar ketika prosedur tidak memadai,3
p02,Orientasi Melayani,2,Menawarkan bantuan sebelum diminta pada isu yang terlihat,3
p02,Orientasi Melayani,2,Menindaklanjuti hingga klien mengonfirmasi masalahnya selesai,4
p02,Orientasi Melayani,3,Memperjuangkan kepentingan klien di forum internal perusahaan,4
p02,Orientasi Melayani,3,Mengorbankan kenyamanan pribadi untuk kebutuhan klien yang mendesak,4
p02,Orientasi Melayani,3,Menjaga transparansi termasuk saat menyampaikan kabar buruk,4
p02,Orientasi Melayani,4,Menyeimbangkan kepentingan klien dan perusahaan pada keputusan sulit,2
p02,Orientasi Melayani,4,Menolak permintaan klien dengan cara yang justru memperkuat kepercayaan,2
p02,Orientasi Melayani,4,Mengubah klien yang kecewa menjadi pendukung aktif,4
p02,Orientasi Melayani,5,Menanamkan orientasi melayani sebagai budaya kerja tim,3
p02,Orientasi Melayani,5,Merancang ulang proses internal berdasarkan kebutuhan klien,3
p02,Orientasi Melayani,5,Menjadi tolok ukur hubungan klien yang dirujuk organisasi,3
p02,Perbaikan Proses,1,Menjalankan proses kerja sesuai prosedur,4
p02,Perbaikan Proses,1,Mencatat hambatan yang ditemui saat bekerja,5
p02,Perbaikan Proses,1,Mengenali langkah kerja yang jadi tanggung jawabnya,3
p02,Perbaikan Proses,2,Memetakan alur kerja satu proses,4
p02,Perbaikan Proses,2,Mengusulkan perbaikan kecil dari pengalaman lapangan,4
p02,Perbaikan Proses,2,Mengukur waktu dan hasil satu proses,4
p02,Perbaikan Proses,3,Menemukan akar pemborosan pada proses berjalan,4
p02,Perbaikan Proses,3,Merancang perbaikan proses beserta cara mengukurnya,5
p02,Perbaikan Proses,3,Menjalankan uji coba perbaikan pada lingkup terbatas,5
p02,Perbaikan Proses,4,Merancang ulang proses lintas unit,3
p02,Perbaikan Proses,4,Menilai dampak perubahan proses terhadap mutu dan biaya,5
p02,Perbaikan Proses,4,Menjadikan perbaikan bertahan lewat standar baru,5
p02,Perbaikan Proses,5,Menetapkan arah keunggulan operasional perusahaan,3
p02,Perbaikan Proses,5,Membangun kebiasaan perbaikan berkelanjutan di seluruh unit,4
p02,Perbaikan Proses,5,Menyeimbangkan efisiensi dengan mutu layanan di tingkat organisasi,5
p02,Kendali Mutu,1,Memeriksa hasil kerja terhadap daftar periksa yang ada,3
p02,Kendali Mutu,1,Mencatat temuan ketidaksesuaian,3
p02,Kendali Mutu,1,Mengikuti prosedur penanganan produk cacat,3
p02,Kendali Mutu,2,Menilai mutu dengan ukuran yang ditetapkan,3
p02,Kendali Mutu,2,Menelusuri penyebab langsung ketidaksesuaian,4
p02,Kendali Mutu,2,Menyiapkan laporan mutu berkala,2
p02,Kendali Mutu,3,Menganalisis pola ketidaksesuaian yang berulang,2
